product_name                                                                             ,name_ordered                   ,supplier_name ,total_packs_ordered ,pack_size ,pack_price ,PO_cost ,total_packs_received ,receipt_pack_price ,received_cost ,upc          ,store_id ,store_name ,product_id ,restock_order_id ,is_out_of_stock ,out_of_stock_reason
Trolli Sour Brite Crawlers - Very Berry - 5.0 oz                                         ,TROLLI GUMMI SR BR CRWLR VRY B ,Core-Mark     ,                  1 ,       12 ,     17.04 ,  17.04 ,                     ,                   ,              ,041420115875 ,       5 ,UofA       ,       294 ,           14084 ,FALSE           ,
Trolli Sour Brite Crawlers - Original - 5.0 oz                                           ,TROLLI GUMMI SR BRITECRWLRS PE ,Core-Mark     ,                  2 ,       12 ,     17.04 ,  34.08 ,                     ,                   ,              ,020709012302 ,       5 ,UofA       ,       210 ,           14084 ,FALSE           ,
Welch's Fruit Snacks - Island Fruits - 5.0 oz                                            ,WELCHS FRT SNK ISLAND FRUIT    ,Core-Mark     ,                  1 ,       12 ,      7.2  ,   7.2  ,                     ,                   ,              ,034856050919 ,       5 ,UofA       ,      1820 ,           14084 ,FALSE           ,
Extra Gum - Peppermint - 15.0 count                                                      ,ZZZMissing UPC                 ,Core-Mark     ,                  1 ,       10 ,     10.4  ,  10.4  ,                     ,                   ,              ,             ,       5 ,UofA       ,       465 ,           14084 ,FALSE           ,
Fresh Take Salads - Chicken Caesar Salad - 6.5 oz                                        ,ZZZMissing UPC                 ,Core-Mark     ,                  3 ,        1 ,      0    ,   0    ,                     ,                   ,              ,             ,       5 ,UofA       ,      8069 ,           14084 ,FALSE           ,
Fresh Take Salads - Southwest Chicken - 6.0 oz                                           ,ZZZMissing UPC                 ,Core-Mark     ,                  3 ,        1 ,      0    ,   0    ,                     ,                   ,              ,             ,       5 ,UofA       ,      8070 ,           14084 ,FALSE           ,
Haribo Funtastic Mix - Gummies - 5.0 oz                                                  ,ZZZMissing UPC                 ,Core-Mark     ,                  1 ,       12 ,     15.84 ,  15.84 ,                     ,                   ,              ,             ,       5 ,UofA       ,      7656 ,           14084 ,FALSE           ,
Harvest Snaps - Lightly Salted - 3.3 oz                                                  ,ZZZMissing UPC                 ,Core-Mark     ,                  1 ,       12 ,     30.6  ,  30.6  ,                     ,                   ,              ,             ,       5 ,UofA       ,      6820 ,           14084 ,FALSE           ,
Lunchables - Extra Cheesy Pizza - 4.6 oz                                                 ,ZZZMissing UPC                 ,Core-Mark     ,                  3 ,        1 ,     24.56 ,  73.68 ,                     ,                   ,              ,             ,       5 ,UofA       ,      7705 ,           14084 ,FALSE           ,
Lunchables - Turkey And American Cracker Stackers - 3.4 oz                               ,ZZZMissing UPC                 ,Core-Mark     ,                  8 ,        1 ,      2.52 ,  20.16 ,                     ,                   ,              ,             ,       5 ,UofA       ,      6468 ,           14084 ,FALSE           ,
Slim Jims - Original - Giant - 0.97 oz                                                   ,ZZZMissing UPC                 ,Core-Mark     ,                  1 ,       24 ,     13.92 ,  13.92 ,                     ,                   ,              ,             ,       5 ,UofA       ,       177 ,           14084 ,FALSE           ,
Vuse - All in one - 1.0 count                                                            ,ZZZMissing UPC                 ,Core-Mark     ,                  1 ,        5 ,      0    ,   0    ,                     ,                   ,              ,             ,       5 ,UofA       ,      7859 ,           14084 ,FALSE           ,
Advil - 200 Mg - 10.0 count                                                              ,ZZZWrong UPC                   ,Core-Mark     ,                  3 ,        1 ,      2.16 ,   6.48 ,                     ,                   ,              ,3.0573E+11   ,       5 ,UofA       ,       545 ,           14084 ,FALSE           ,
Arizona Fruit Juice Cocktail - Kiwi Strawberry - 22.0 fl. oz                             ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       24 ,     15.84 ,  15.84 ,                     ,                   ,              ,6.13009E+11  ,       5 ,UofA       ,      1016 ,           14084 ,FALSE           ,
Arizona Fruit Juice Cocktail - Mucho Mango - 22.0 fl. oz                                 ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       24 ,     21.6  ,  21.6  ,                     ,                   ,              ,6.13009E+11  ,       5 ,UofA       ,       973 ,           14084 ,FALSE           ,
Arizona Fruit Snacks - Half & Half - 5.0 oz                                              ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       12 ,     16.32 ,  16.32 ,                     ,                   ,              ,6.13009E+11  ,       5 ,UofA       ,      7079 ,           14084 ,FALSE           ,
Arizona Iced Tea - Green Tea W/ Ginseng & Honey - 22.0 oz                                ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       24 ,     15.84 ,  15.84 ,                     ,                   ,              ,6.13009E+11  ,       5 ,UofA       ,      1049 ,           14084 ,FALSE           ,
Arizona Iced Tea - Raspberry - 22.0 fl. oz                                               ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       24 ,     15.84 ,  15.84 ,                     ,                   ,              ,6.13009E+11  ,       5 ,UofA       ,      1075 ,           14084 ,FALSE           ,
Band-aid Bandages - Tru-stay Sheer - 40.0 count                                          ,ZZZWrong UPC                   ,Core-Mark     ,                  4 ,        1 ,      0    ,   0    ,                     ,                   ,              ,3.8137E+11   ,       5 ,UofA       ,      1652 ,           14084 ,FALSE           ,
Barebells Protein Bar - Cookies & Cream - 1.94 oz                                        ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       12 ,     24.36 ,  24.36 ,                     ,                   ,              ,8.5E+11      ,       5 ,UofA       ,      3853 ,           14084 ,FALSE           ,
Benadryl Allergy - Tablets - 4.0 count                                                   ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        6 ,      9.06 ,   9.06 ,                     ,                   ,              ,3.66716E+11  ,       5 ,UofA       ,      5818 ,           14084 ,FALSE           ,
Brownie Brittle - Chocolate Chip - 5.0 oz                                                ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        6 ,     15.54 ,  15.54 ,                     ,                   ,              ,7.11747E+11  ,       5 ,UofA       ,      3264 ,           14084 ,FALSE           ,
Burt’s Bees Chapstick - Chapstick - 1.0 count                                            ,ZZZWrong UPC                   ,Core-Mark     ,                  3 ,        1 ,      2.56 ,   7.68 ,                     ,                   ,              ,7.9285E+11   ,       5 ,UofA       ,        20 ,           14084 ,FALSE           ,
Fiji Water - Original - 16.9 fl. oz                                                      ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       24 ,     26.4  ,  26.4  ,                     ,                   ,              ,6.32565E+11  ,       5 ,UofA       ,        56 ,           14084 ,FALSE           ,
Flipz - White Fudge Pretzels - 5.0 oz                                                    ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        6 ,     15.42 ,  15.42 ,                     ,                   ,              ,8.72181E+11  ,       5 ,UofA       ,      2969 ,           14084 ,FALSE           ,
Halo Top - Peanut Butter Cup - 16.0 oz                                                   ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        8 ,     38.24 ,  38.24 ,                     ,                   ,              ,8.58089E+11  ,       5 ,UofA       ,      1946 ,           14084 ,FALSE           ,
Hi Chew Candy - Sweet & Sour Mix - 3.17 oz                                               ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        6 ,     10.32 ,  10.32 ,                     ,                   ,              ,8.51681E+11  ,       5 ,UofA       ,      1769 ,           14084 ,FALSE           ,
Hostess Donettes - Powdered - 10.75 oz                                                   ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        6 ,     15.9  ,  15.9  ,                     ,                   ,              ,8.88109E+11  ,       5 ,UofA       ,        46 ,           14084 ,FALSE           ,
Hot Pocket - Ham And Cheese - 4.5 oz                                                     ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,       30 ,     32.1  ,  32.1  ,                     ,                   ,              ,000436956576 ,       5 ,UofA       ,        90 ,           14084 ,FALSE           ,
Juul Pods - Menthol (5%) - 4.0 count                                                     ,ZZZWrong UPC                   ,Core-Mark     ,                  1 ,        8 ,    124.08 , 124.08 ,                     ,                   ,              ,8.19913E+11  ,       5 ,UofA       ,      3869 ,           14084 ,FALSE           ,
